brand_0,brand_1,brand_2,price,dcity_0,dcity_1,dcity_2,dcity_3,dcity_4,acity_0,acity_1,acity_2,acity_3,acity_4,class_type,flytime_hours,dhour,dminute,ahour,aminute,dmonth,dday
0,1,1,3086000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,3709000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,4007000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,4572000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,4583000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,5148000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,6798000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,7085000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,7493000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,8274000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,8320000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,8481000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,8566000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,8901000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,10217000,0,0,0,1,0,0,0,1,0,0,1,5.083333333333333,14,45,19,50,12,10
0,1,1,3313000,0,0,0,1,0,0,0,1,0,1,1,6.583333333333333,14,45,21,20,12,10
0,1,1,3369000,0,0,0,1,0,0,0,1,0,1,1,6.583333333333333,14,45,21,20,12,10
0,1,1,3642000,0,0,0,1,0,0,0,1,0,1,1,6.583333333333333,14,45,21,20,12,10
0,1,1,3733000,0,0,0,1,0,0,0,1,0,1,1,6.583333333333333,14,45,21,20,12,10
0,1,1,3835000,0,0,0,1,0,0,0,1,0,1,1,6.583333333333333,14,45,21,20,12,10
0,1,1,3889000,0,0,0,1,0,0,0,1,0,1,1,6.583333333333333,14,45,21,20,12,10
